text	label
@AnetteSjobe Har du varit utomlands? Nästan i hela Europa skrattar de åt våra kriminella gäng, våldtäkter, korruption, vår ansvarslösa invandringspolitik. Allt du säger måste du ha läst i Aftonbladet. Verkligheten ser mycket annorlunda ut.	0
@LiaVii2022 @IngvarLofven Att va amerikan är inte synonymt med att detaljstyras från Washington, tvärtom är en del av den identiteten att känna skepsis gentemot överstatlighet. Samma med oss Européer, vi måste värna våran lokala suveränitet och frihet. Fritt resande är bra, men EU har blivit för mäktigt.	1
@IngvarLofven Vårt land måste ha en egen suveränitet.	0
@TreSMguld @spiksmeden De flesta politiker vet inte ens om eller erkänner att det finns några stora problem.  En del politiker anser att vi får detta på köpet med globaliseringen och att detta tillhör ett dynamiskt samhälle.  Detta synsett är finansierat av WEF, FN, Soros, EU, etc.	1
@TomasGabrielss1 Tror man får svårigheter om man ger sig på att fylla begrepp som svensk kultur, japansk kultur, italiensk kultur. De definitionerna brukar hamna i att ett obskyrt instrument eller ett bakverk som verkligen inte finns någon annanstans för fram som bevis på det exklusiva. &gt;&gt;	0
@Splaadnacke Jag håller med ang skulder och räntor. Hur gör vi då för att motverka globaliseringen?	0
Där hade Sverige tur! Denna kulturberikande kvartett kommer nu få fortsätta skapa nya jobb i Sverige. Framför allt inom rättsväsendet. https://t.co/gcNBrrbN0m	1
@MeritWager @SR_P1morgon Vad menar du Merit, det är ju bara kulturberikande och mer än så får vi inte för våra 8 miljarder/år?	1
"@matmatm27316325 2022 har ju tydligt varit ett år av ""allt är bäcksvart"" det kommer man inte ifrån. Slutet på globaliseringen, inflation, räntehöjningar, krig etc."	0
"@TigerPax Enkelt förklarat är svensk kultur de dominanta värderingar och prioriteringar Sverige haft och har som skapat de resultat vi har från vår historiska början fram till cirka 1968 när kontrakulturen blev vår nya ""kultur"" varefter svensk kultur blivit att fråga vad är svensk kultur?"	0
@CarlForsberg2 @leifwidlund @laffan56 @sdriks @liberalerna @moderaterna @kdriks Dödsstraff här också som sagt men inte heller här en ursäkt att importera mängder med dysfunktionella och kriminella män från Afrika, Afghanistan och Mellanöstern. Eller en massa islamistiska IS-terrorister.	1
”När jag hör uttrycket svensk kultur osäkrar jag min puffra”, skriver Håkan Engström och laddar rullebören full med ammunition till en skånsk kanon. sydsvenskan.se/2022-10-21/nat…	0
@Klassisk_Lib @anneramberg Nationens suveränitet. Den som rättfärdigas av suveränitetsprincipen. Är det den som bör försvinna?	0
@angelotapia1985 Tror inte de skulle hota öppet, men den colombianska peson har tappat mer i värde än andra valutor i regionen. Och det hade inte varit så tydligt att de ogillar att Petro försöker driva sin egen politik. Jag tvivlar på att svenskar skulle gå ut och försvara vår suveränitet	0
@AWSvensson @kostymrassen Nähä, å hur fan kom afghanen hit om det i te var via era öppna grindar utan 0 koll på vem &amp; vilka.  Eller är det en kulturberikande svensk tradition som vi ägnat oss åt i generationer att hugga ned folk i random. Snart en machete i varje kvarter &amp; hem	1
@U_Kristofferson @Nyheterna Landsort. Såg ut att vara ett trevligt skärgårdsområde. Och så oväntat att godhetens Barbro är folkbokförd på Östermalm. Konstigt att det verkar vara sällsynt med goda 30-tals-pratande Arnstadister som väljer att integrera sig själva i kulturberikande Rosengård och Rinkeby #svpol	1
@skogspojjken @tampioruobari @mrlawoko @katherinemzhou Det finns svensk kultur och subkulturer. Det finns olika typer av svenskar. Alla är inte vita, vissa är valloner, vissa identifierar inte med någon subkultur, andra gör det.	0
@hirotalje @MariaKarnis @Ivarpi Tror dock mycket har att göra med xenofobi snarare än endast ras. Upplever att många svenskar blir irriterade på människor som de ser som icke-integrerade (kan inte svenska, inte insatt i svensk kultur, etc.). Kom du hit i ung ålder kan era förutsättningar nog skilja sig åt.	0
@fialott1 @RikardJ63028431 @TomasGabrielss1 Som flera är inne på är frågeställningen illasinnad. Dessutom bygger den på en form av logiskt och förnuftigt felslut. Det går naturligtvis inte att definiera något så omfattande som svensk kultur. Något så levande, historiskt förankrat, ständigt föränderligt, relationsbaserat.	0
@ErikNille Mena folket o andra kriminella måste ut ur landet innan Sverige blir svenskt !	1
@michael97878751 @IlskaIren Kära vänner, det har bara börjat. Ni måste bita i hop vara starka. Börja agera och rätta ert liv efter ett liv utan någon som helst hjälp av staten. De finns ingen god sida som slåss för oss det är vi som måste göra det aktiva valet att leva i suveränitet. Det är enda vägen ut.	0
@katjanouch Ska det inte heta kulturberikande tillskott?	1
@robin_betahaus @gad_media @NathanHamelberg Dessutom, globaliseringen gör det lättare för diktaturer att behålla makten då motståndare lättare kan flytta. Hade de stannat kvar hade diktaturernas stöd snabbare eroderats.	0
När en lättkränkt muslim inte längre kan försvara koran-upploppen så blir det till slut alltid denna typ av ”svar” från de kulturberikande vinstmaskinerna! 🥷🏿💥 Retweeta &amp; Följ så fler får se sanningen! 🇸🇪 https://t.co/atFfXA9mFM	1
@dadgostarnooshi För 20 år sedan var vänstern stenhårt emot globaliseringen. Nu har man svängt och är för oligarkmiljardärernas och WEFs build-back-better agenda med klimatalarmism och pandemilarm. Ni har hoppat från det ena diket till det andra!	1
"@bjogre @KentEklund @beckmansasikter @Aftonbladet Att kalla svenska patriotet som inte vill sälja sitt lands suveränitet till psykopater i Washington för ""landets fiender"" är både idiotisk och retarderat. Har du fått gåshud av Top Gun och nu vill ha Amerikanska baser i Sverige? Det är ta mig fan du som är fienden. Angloid total"	0
"@MollerReal Om jag förstår det rätt så omfattar undersökningen 60 ""utsatta områden"" i Sverige. Kanske inte lustigt om man går och knackar dörr i lilla mogadishu och får höra att folk där inte har något emot att ha sina kulturberikande landsmän som grannar. Fråga istället i ett villaområde -&gt;"	1
@Skeptikern2 @svtnyheter Ingenting är heligt längre, blommor, gravsmyckningar, nu urnor med stoft som stjäls och gravstenar som välts - en ny kulturberikande grej MENA å andra skitstövlar ägnar sig åt. Det säger mkt vad de anser om oss svenskar, det enda de gillar är våra pengar	1
@F3Kpilot Plus att rent historiskt har svenskar en kristen identitet, oavsett hur mycket man försökt sekularisera. Det hör enligt mig ihop med kulturkrisen i Sverige, hela antagandet att vi inte har en utpräglad svensk kultur. Kristendom är en del av det.	0
@fembarnsfarsan Kort fråga: Bör grovt kriminella utvisas? Om inte, varför? Hade inte S låtit MP styra i nästan 8 år hade regeringen sett ut på ett annat sätt är jag övertygad om.	1
Europa förbereder sig på ytterligare kulturberikande  Statsmedia och köpta politiker slår på trumman för kulturkrockar  youtu.be/Ya6wAN3DnjE	1
@LiberalaErik Anser du att även Ukraina på frivillig basis bör öppna sina gränser och släppa in exempelvis Ryssar i stora mängder?  Tänker ju att du åtminstone verkar vara brydd om i alla fall Ukrainas suveränitet  🤔	0
@Latens_Verax @Sysenpysen @svtnyheter Exakt vad är svensk kultur?	0
@sonnyopala Kaxig när man har 100 kriminella invandrare där för att rädda en. Som ett barn.	0
Nya försvarsministern ser Nato som största utmaningen (via @omni_red)  -- NATO/USA ut ur Sverige! Och Sverige ut ur USAs/NATOs grepp. Det gäller att återerövra svenskt oberoende - och åter bygga upp svensk nationell suveränitet- för att försvara demokratin omni.se/a/P44ade	0
@SvenskJarl @CHADTHUNDERJOCK Fast varken Ryssland eller Kina har på något sätt gjort anspråk på det kulturella samt ideologiska i något av sina allierade länder. Poängen är inte att byta ut inflytandet utan SJÄLVBESTÄMMANDE och suveränitet utan att bli kulturellt imperialiserade och då krävs multipolaritet.	0
@Expressen Svenskar i storbråk... vad kulturberikande verkligen.	1
Verkligen kulturberikande!🥱 msn.com/sv-se/nyheter/…	2
@annieloof Ser att du med C trycker på punkter som göder globaliseringen och ger globalisterna mer pengar.  Tydligt att inte att arbeta åt folket är dina arbetsuppgifter utan göda din egna plånbok genom att springa globalisternas ärenden.  Demokrati - folkstyre.	1
@TomasGabrielss1 @SwedeInWarsaw Men det står ju inte i den artikeln att Sverige inte finns som du påstår. förstår inte varför du påstår att det inte finns en svensk kultur när vi talar om amerikansk kultur trots att de haft mkt större invandring än oss.	0
@Du_Stumpan En hemsk myt, helst när vi står med nästan helt öppna gränser o inte ens sparkar ut illegala el kriminella.	0
@MurmanStefan En virknål, sax eller en skruvmejsel för de kan väl inte mena en kniv? MENA kulturberikande Adidasgäng bär väl ”aldrig” kniv 😝	1
@IngvarLofven därför att sverige har blivit en lydstat och således förlorat sin suveränitet. https://t.co/OjTnP7uyCh	0
@Moderat_Lidingo Hur tänkte ni goda™ 'antirasistiska' Lidingö-moderater som var undersåtar till, eller röstade på, godhetens Fredrik #ÖppnaHjärtan #Reinfeldt? Att alla kulturberikande, icke #KulturelltBelastande, ambassader skulle ligga i Rinkeby på behörigt #NIMBY avstånd? #KARMA #migpol #svpol	1
@CarlForsberg2 @leifwidlund @laffan56 @sdriks @liberalerna @moderaterna @kdriks Håller med, as, borde fått hårda straff och dödsstraff. Tyvärr är ju inte vänstermänniskor så smarta utan dom tar kriminella svenskar som ursäkt för att få släppa in den stora majoritet kriminella som kommer från andra länder. Detta skapar mängder med onödiga brottsoffer.	0
@TEPettersson Det är så här det kommer att se ut så länge vurmarna för det kulturberikande samhället fortsätter! Om en Afghan som begår en våldshandling så är det ”taskig uppväxt” och ett vårdbehov. En svensk... rasist, fascist, nazist... inget PK tolererar!	1
@supegu @OlofSolros @RichardHerrey Ja alla hjärntvättade blir oroliga om globaliseringen utmanas 👍	1
Hon tycker säkert det är kulturberikande så dum i huvudet som hon är! twitter.com/Dykaren21/stat…	1
@PlainviewLegacy Recap (2) * Per sitter med brandfacklor * Mathias undrar om mer nationalism inte kommer stärka globaliseringen * Per kommer ut : han tidigare identifierat sig som moderat. * Plainview kommer ut som klimataktivist(?)	0
@EkbergMats Nja tycker snarare de ökat el så har MSM vågat börjat rapportera om dem, ännu en ny kulturberikande grej, ha ihjäl kvinnor genom att kasta dem från balkonger. El vågar V påstå denna tradition alltid funnits i🇸🇪	1
@damien715 @betongplatta @RolandXSweden @Freddan68 Inte är det nazism iaf. Putin förklarade själv vad det handlade i ett långt tal innan invasionen. Historiska ”oförätter” mot Ryssarna. Han har aldrig accepterat Ukrainas suveränitet. Vill utrota allt ukrainskt och skapa en lydstat likt Vitryssland.	0
"@CharBerg1 Men vad yrar Nordin om? Fan vad tröttsam han är.   ""Det handlade om en internationell situation där globaliseringen inte helt och hållet höll vad den lovat."" Det är precis vad globalisering handlar om, inte att vi bara ska kunna röra oss runt om i världen."	0
"@HansKarlemon Palme blev inte dödad av en höger. Lindh blev dödad av en Serb som var sur för hon lät Nato bomba Serbien.  Vänsterhatet är mer subtilt, den får dig att säga ord som ""Det finns ingen svensk kultur"" ""Det finns inga svenskar"" osv."	0
Webbinarium 27 oktober: Har globaliseringen någon framtid? Med @pol_antras, professor i nationalekonomi vid Harvard University. Kommentarer av @LenaSellgren från @BusinessSweden, och Fredrik Sjöholm från @IFN_Stockholm. arenaide.se/kalender/framt…	0
@RSorman1 Det internationella kapitalet är väl själva symbolen för globaliseringen och globalismen.	0
@Johan_Wien4ever @ssgothia @jingezon Finns svenssons som är kriminella och röstar för kleptokrati. Tycker du vi ska skippa rösträtt?	0
@Latens_Verax @svtnyheter Uppenbarligen tror Tidölaget att Sverige ”tjänar på” att godtyckligt utvisa folk vars livsstil de ogillar. För saker som inte är kriminella. Idiotiskt.	0
@janerikeriksson @Nils_Littorin Håll käft rent ut sagt! Ja, de kommer att slåss för sin suveränitet och ja, vi ska hjälpa dem din ynkrygg!!!	0
@Nova_covic @Sharps_Wagner Och dessa unga flickpoliser som ska ingjuta respekt i en 'egen värld' som inte har det minsta respekt för kvinnor öht. Det är dömt att misslyckas.  Tyvärr går det inte att stryka de kriminella medhårs..  iaf inte om vi vill ha nån form av ordning och reda.	0
@GPDebatt @liberalerna @RobertHannah85 @AxelDarvik Ni såg det inte komma? Ni har varit naiva? Ni @liberalerna regerade med Reinfeldt 2006-2014.  Resultatet efter åtta års kulturberikande antirasism och fokus på att hata SD: Kriminella klaner, artikel från maj 2015: fof.se/tidning/2015/5… #SJUKLÖVERN #svpol #VAL2022 #migpol	1
@HelenaRaaf1 @VonMieuhlbagge Vilken kultur ser du på tv? Vilken kultur äter du på snabbmatskedjan? Vet du verkligen vad svensk kultur är?	0
@AlfCarlsson10 Har läst regeringsformen Rätt bra text  Men den definierar inte ”svensk kultur” Mest för att den inte existerar	0
@lindbergpolemik @LordZXI Tror L verkligen att risken är speciellt stor... när inte ens kriminella som våldtäktsmän och mördare utvisas trots domslut?	1
@kostymrassen Det riskerar att störa integrerade mörkhåriga invandrare, samt missa kriminella ljusa syrianer, georgier och östeuropeer. Bättre vore att ALLTID utvisa kriminella invandrare. Man måste lösa problemet där det finns, annars är det bara symbolpolitik.	0
@gogol_fangirl Hahah ja, alltså det är så absurt. Känns många lärare sig som den sista bastionen och beskyddare av svensk kultur? Eller är de bara omsprungna av samtiden och blir arja för det som var viktigt för dom inte är viktigt för andra.	0
@TheSurgubbe Samma storlek och indoktrinering i varje barnprogram från kulturberikande #SVT Det är det nya nu. HM har tröttnat på skit från dessa och lagt sig platt. Tragikomiskt.	1
@localheroes23 Jag värderar inte alls Men det finns alltså människor som påstår att ”svensk kultur” är i fara Då får man definiera det Svårare än så är det inte	0
@AWilliamsson @cinathestrup @bjorklundjan Nej jag är helt ok med att tidigare fackföreningsaktiva, kommunbyråkrater och människor som haft olika roller inom näringslivet. Det viktiga är att de lämnar dessa saker bakom sig när de blir ministrar. Friskoleförespråkare är inte kriminella vilket hade varit ett riktigt skäl.	0
Den jobbiga u-hjälpen  ”För att ha råd med vår livsstil ger vi på sikt upp en del av vår egen produktion och därmed det fundament som skapar vårt välstånd och vår livsstil.” Lars Thulin ser en paradox i globaliseringen. opulens.se/opinion/kronik… https://t.co/11aD6cXzPB	0
@LarsBergkvist1 Själv associerar jag ovan med dagens vänsterliberala regim/system som dominerar Väst. En elitistisk politik som endast gynnat storkapital, växande repression, åsiktsdiktatur, undergrävande av folkstyret genom flytt av suveränitet till banker/överstatliga organisationer	1
@svtnyheter Konstigt att visitationszoner ökar misstron bland Svenska kriminella men fungerar i London. Ändå kommer kriminella både i Sverige och London till 89% från samma menaländer.	1
Det finns ett och annat som förenar SD med extrema islamister. Synen på HBTQ-personer till exempel. Ett annat exempel är synen på globaliseringen och liberalismen.   SD-politiker vill se restriktioner mot pride: ”Destruktiv livsstil” tidningensyre.se/2022/5-augusti…	1
"@k_akfa Ja men i ""provinsialismens krock med globaliseringen"" ingår väl invandring?"	0
@KARLBERG_H @svtnyheter Putin är inte problemet och det vet du , så då kvarstår frågan varför du propaganderar för det kriminella etablissemanget som styr Ukraina ?	2
Undrar och hoppas att politiken sätter ett stopp för globaliseringen efter den käftsmäll ”vi” fått! Nu överväger Italien och Frankrike att bl.a sänka utebelysningen pga höga energipriser! USA höjer räntan men EU höjer inte lika mycket pga att vissa ekonomier i Europa inte klarar	0
@KARLBERG_H @svtnyheter di.se/nyheter/bill-b… Bill Browder har ju golat ner Swedbank och Sverige.. men det funkade ett tag att lura världen med att Ryssland och Putin var de kriminella, det kallas för projicering för att skydda etablissemangets tvättmaskin ukraina m.m ...en bild som säger allt ⤵️ https://t.co/kF4fDQFR0e	0
@gad_media Idioten har inte förstått än globaliseringen där alla sitter i samma båt!	0
@EHavlova Försvaret av Ukrainas suveränitet är inte USAs sak egentligen utan en Europeisk fråga. Sverige som litet land skulle stå naket om folk resonerade som du och sket i att hjälpa de som mobbas av Putin.	0
"@LeifTagg Jag dömer ingen. Var och en blir salig på sin tro. Under de senaste 30 åren har vi ständigt lyft fram att ""världen krymper"". Exempel är Internet. Människor, organisationer, företag, kan kommunicera med varandra på ett smidigt sätt. Är det också ""globaliseringen""?"	0
@AB_Karin @AdvokatEmma Tragedin är att så många, i globaliseringen och de ökade ojämlikheternas kölvatten, ser en bruning som det rimligaste altetnativet.	0
”Hennes suveränitet har varit att stå emot, orubblig, och skriva som hon måste skriva, hon som alltid setts vara andrasortering, nu krönt. Det här Nobelpriset är också alla kvinnors pris.”  Vackert om Annie Ernaux i dagens @DNKultur i översättning från franska av Lisa Lindberg. https://t.co/eM2La6ArKg	0
@skogshuldran1 Nej det är dom inte. Dom är tillsatta av EU, Soros, W-berg med flera för att driva igenom globaliseringen	1
@daniwaldenstrom @HAX Hmm. Om global efterfrågan minskar vilket pressar ner efterfrågan och därmed ner priset på frakt och det även blivit dyrare att köpa varor över tid vilket ökat handelssumman. Hur kan det visa att globaliseringen är på väg tillbaka? Tycker inte riktigt saker hänger ihop.	0
@mattiasvepsa Ska vi ha förtroende för de kriminella😂😂😂  Saft o bull kalasen funkade inte och du fattar antagligen inte varför 🤡  Om du hade bemödat dig med att läsa på hur deras kultur fungerar hade du kanske begripit något mer än nu.	0
@klas_wadstein Helt hopplöst hur fort det kan gå. Det är ett par år sen de hade problem med att kriminella kom till skolor för att rekrytera o Eslövs kommun agerade men sen har jag inte läst mer om det.  Tydligen sker sånt i min by Kågeröd med. Det gäller att stå enade emot. Men hur?	0
@Maggie86288609 Ännu en kulturberikande importerad tradition- råttorna invaderar &amp;förökar sig allt snabbare	1
@IdaOlmedal Vad synd verkligen vad synd om Sverige. Vad menar de med kanon (jag läste det på tidöavtalet)? Jag är säker att det redan finns en kanon av svensk kultur och litteratur, men menar de verkligen att bara läsar svensk böker i skolan till ex eller vill de utslutar delar av kulturen?	0
@ghokmark Tack för intressant text @ghokmark !  Vi behöver bekämpa socialismen på alla fronter.  Nu behöver vi också ta matchen mot ännu större hot. Hoten mot vår frihet, demokrati och kultur.  Hoter kommer från globaliseringen och våldsam mena-ideologi.	1
@10kLux @anneramberg Din/vår suveränitet?!? Vad har det med saken att göra?	0
@socialdemokrat Ni har svagheten, fegheten och icke-politiken som fört oss hit, med gängkriminaliteten som tar över städer, gängvåldtäkter och annat ”kulturberikande”…….	1
@TomasGabrielss1 Behöver man en definition på svensk kultur så vet man inte vad själva ordet kultur betyder.	0
@lana_baka Även korrupta länder har rätt till sin suveränitet.	0
@Johan_Elmquist Spontant, att han gissar precis som alla andra. Men visst finns det chans för detta. Dom senaste 10 åren som man jämför med är i min bok dock en anomali  (jmfrt med 70,80,90 &amp; 00 talen).  Sen är det ju inte bra att (om) globaliseringen backar. Den är drivande för låg inflation ❤️	0
@mattiasvepsa I valet mellan att kriminella upplever misstro eller att polisen kan hitta vapen och narkotika, så väljer jag definitivt det senare. Särskilt om det kan få en avskräckande effekt och kan göra att de inte vågar ha med sig vapen eller narkotika alls	0
@sjodin_patrik @YouTube Ja det är inte de som dom har sagt iallafall men allt kommer visa sig för folkbildningen kommer bli tydligare och tydligare. Men tydligast nu är globaliseringen och vad dom gjort	0
@micjac63 @RichardJomshof Men dom kriminella finns ju u SD, hur menar du nu?	0
@sittnerkomiker @Level11001 Ja det är kulturberikande 👍🏻	2
"2 av 12 månader är bokade med terrordåd osv.  Mars och April varje år framåt kommer vi se och höra : Nu minns vi terrordådet osv osv ....   Hade man inte släppat in i Sverige ""kulturberikande"" individer så skulle vi slippa sånt. 🤷‍♂️"	1
@ClaLar67 @Cornubot så jag som varken håller med svensk jämställdhet eller är övertygad om dess suveränitet med tanke på att typ alla svenska familjer är helt splittrade, dekadensen skyhög. Ska jag hålla käft om detta så jag inte utvisas? ljuga och säga att jämlikhet är bäst? Eller omskolningsläger?	2
@NilssonPM Kulturvärlden är den mest patetiska och allmänt lågbegåvade delen av samhället idag. Majoriteten av dom i högre position inom den tror ju inte ens svensk kultur existerar.. behöver reform från grunden	0
@AndreasSelberg @snedskottet Svårt så länge globaliseringen är så önskvärd hos våra politiker. Skulle tex skatt på arbete tas bort och ersättas med importavgifter skulle mycket ändras.	0
@DinSvans Barnsligt trams. Andra kriminella är också de som köper i störst utsträckning.	0
Kommer Haiti att invaderas av Canada och USA?  Kommer då européer att också organisera sig för Haitis suveränitet? För drygt ett pr sedan dödade colombianska legosoldater i DEA västar deras president, i vad som verkar ha haft att göra med att han obstruerade knarkhandeln twitter.com/rolandotelesur…	0
"@HawarAsaiesh det är ett xenophobiskt uttalande. ""Alla invandrare i förorten är kriminella "", ""alla afghanistanier våldtar"". Dessa är xenophobiskt uttalandet."	0
Samernas rasism accepteras pga att de är en s.k minoritet? Om 100 år är kanske 'ursprungsbefolkningen' 'svenskar' minoritet i förhållande till diverse kulturberikande massinvandrare. Kommer det då också vara okej med krav på svenskt DNA för att få rösta i frågor som rör svenskar?	1
@ollewass @JAndersson66 Du ägnar dig åt relativism av sämsta sort. Ukraina försvarar inte bara sin suveränitet utan även Västeuropas och Sveriges frihet från fascism. Jag rekommenderar dig ett besök vid gränsen till Ryssland och samtal med befolkningen som bor där (vilket jag gjort härom veckan).	0
@Ericson_ubbhult Majoritet av planeten avstod eller var helt emot resolutionen. För att 135 små nationer utan gedigen suveränitet väljer att rösta för har lite betydelse. Länder som Israel och USA röstar för resolutionen gör det hela fullständigt betydelselöst. Dom ockuperar länder själva.	0
@Sysenpysen @svtnyheter Min vandel har ansetts som ”olämplig” i många år eftersom jag arbetar för att stärka landets konkurrenskraft, öka dess humankapital, stärka landets framgångsfaktorer och svensk kultur. Allt det som Public Service arbetar för att förstöra.	0
@precision_mats Perfekt! Nya regeringen har lyckats med hårdare tag mot kriminella.	0
@tomte_skum Var den kriminella handlingen att han brukade illegala droger?	0
"@TFren2022 @PolisOrten på riktigt, tror du polisen har absolut 0 suveränitet? att det inte görs ett enda internt beslut hos polisen? va? att polisen valt att inte göra sitt jobb gjordes inte pga politiska mandat om ""att inte fängsla utländska våldtäktsmän"" men i slutändan lydes frivilligt.."	0
@Incorparated2 Är det nån som låtit Ryssland komma för nära o påverka energipolitik så är det just Tyskland. Det visa sig vara ett stort misstag som nu taktiskt används som utpressningen för att bryta mot lagar o inkräkta andras suveränitet. Ryssland bör stängas ut från allt sålänge Putin lever	0
"@kdriks Ni såg det inte komma? Ni har varit naiva? Ni @kdriks regerade med Reinfeldt 2006-2014. Åtta års ""antirasistisk"" s.k ""kulturberikande"" politik inkl starkt fokus på att hata SD. Kriminella klaner, artikel från maj 2015: fof.se/tidning/2015/5… #SJUKLÖVERN #svpol #VAL2022 #migpol"	1
@Uffebluffe Tyvärr, jag och många andra förväntar oss att detta får ett slut med ny regering.  Vi måste någon gång få partier som värnar egen befolkning före enskilda kriminella förbrukade rättigheter.	1
@LarsEri19739742 @RealDarlanio @DanielssonUg Är det verkligen det? Tror du att vi vill ha skjutningar, våldtäkter och kriminella gäng också? Att du fantiserar om ideologier som du inte begriper dig på bevisar bara din bristande kunskap. Men det är ju skönt att veta vems fel allt är. En gosig napp.	0
@somaralnaher Ni som älskar islam och ser islam som kulturberikande kan vara lugna! Om ca 25 år är muslimer flest i Sverige! Sverige blir ett kalifat! PN kommer att bli ett mycket stort parti i Sverige och ni får valuta för att ni sålt ut vårt kulturkristna arv!	1
@veolenes @Beevor12 Du glömde egen företagare. Dvs mer kompetent än en illegal bidragsberoende tjyv från något skithålsland i mellanöstern. Dom verkar odla kriminella hos sossarna. För att dom samtliga är lågbegåvad är en tradition.	0
